MSN,YYYYMM,Value,Column_Order,Description,Unit
CLNIBUS,198207,-0.239041,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198208,-0.190385,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198209,-0.225923,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198210,-0.259836,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198211,-0.20254,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198212,-0.157093,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198213,-2.76834,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198301,-0.115582,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198302,-0.113422,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198303,-0.162416,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198304,-0.157153,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198305,-0.180211,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198306,-0.188047,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198307,-0.159249,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198308,-0.217436,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198309,-0.195407,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198310,-0.209034,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198311,-0.152694,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198312,-0.162285,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198313,-2.012936,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198401,-0.13162,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198402,-0.108734,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198403,-0.152097,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198404,-0.199294,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198405,-0.215256,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198406,-0.205441,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198407,-0.214782,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198408,-0.213765,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198409,-0.227578,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198410,-0.172742,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198411,-0.108922,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198412,-0.168936,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198413,-2.119168,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198501,-0.149882,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198502,-0.156105,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198503,-0.173598,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198504,-0.180774,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198505,-0.238862,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198506,-0.20471,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198507,-0.187975,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198508,-0.267579,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198509,-0.208401,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198510,-0.226807,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198511,-0.211186,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198512,-0.183441,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198513,-2.389319,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198601,-0.152195,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198602,-0.130385,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198603,-0.158687,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198604,-0.212938,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198605,-0.220358,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198606,-0.187783,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198607,-0.200094,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198608,-0.198647,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198609,-0.21062,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198610,-0.186681,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198611,-0.167557,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198612,-0.167197,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198613,-2.193143,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198701,-0.140473,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198702,-0.119928,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198703,-0.167126,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198704,-0.158018,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198705,-0.169,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198706,-0.189704,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198707,-0.170801,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198708,-0.199187,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198709,-0.171129,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198710,-0.172232,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198711,-0.182985,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198712,-0.208692,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198713,-2.049276,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198801,-0.112625,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198802,-0.113819,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198803,-0.182386,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198804,-0.232521,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198805,-0.202297,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198806,-0.205349,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198807,-0.213285,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198808,-0.240023,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198809,-0.263997,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198810,-0.231229,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198811,-0.214099,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198812,-0.234028,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198813,-2.445659,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198901,-0.163309,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198902,-0.173245,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198903,-0.210737,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198904,-0.234209,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198905,-0.24555,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198906,-0.247193,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198907,-0.153045,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198908,-0.206287,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198909,-0.245165,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198910,-0.239093,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198911,-0.249421,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198912,-0.198781,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,198913,-2.566033,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199001,-0.190763,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199002,-0.156874,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199003,-0.220473,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199004,-0.220527,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199005,-0.253893,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199006,-0.23538,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199007,-0.235897,1,Coal Net Imports,Quadrillion Btu
